ovNo,ovBalls/0,ovBalls/1,ovBalls/2,ovBalls/3,ovBalls/4,ovBalls/5,ovBalls/6,id,inningId,ovBalls/7,ovBalls/8,ovBalls/9,ovBalls/10,ovBalls/11,ovBalls/12,ovBalls/13,bowlerId
42,1,1,.,.,.,1,,140,3,,,,,,,,
43,1,1B,1,.,2,.,,141,3,,,,,,,,
44,W,.,1,1,1,1,,142,3,,,,,,,,
45,1,1Wd,1,2,6,2,1,143,3,,,,,,,,
46,.,W,.,.,1,1,,144,3,,,,,,,,
47,W,1,2,.,1,1Wd,.,145,3,,,,,,,,
48,1,2,.,1,4,4,,146,3,,,,,,,,
49,4,1,4,1,6,1,,147,3,,,,,,,,
50,6,2,4,6,2,4,,148,3,,,,,,,,
1,.,.,.,.,.,.,,149,4,,,,,,,,
2,4,1Wd,.,.,.,.,1,150,4,,,,,,,,
3,.,.,1,1,1,.,,151,4,,,,,,,,
4,.,.,.,2,.,.,,152,4,,,,,,,,
5,.,.,.,2,1,1,,153,4,,,,,,,,
6,4,.,.,.,2W,1,,154,4,,,,,,,,
7,.,.,1,1,.,.,,155,4,,,,,,,,
8,.,1Lb,1Wd,1,W,.,2,156,4,,,,,,,,
9,.,.,1,.,.,.,,157,4,,,,,,,,
